sugar_level,ph_level,alcohol_level,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,class
2.0 - 2.5,3.50 - 3.75,> 12.0,6.6,0.84,0.03,0.059000000000000004,32.0,48.0,0.9952,0.56,high
2.0 - 2.5,3.25 - 3.50,11.0 - 11.5,6.4,0.67,0.08,0.045,19.0,48.0,0.9949,0.49,high
1.5 - 2.0,3.25 - 3.50,10.5 - 11.0,9.5,0.78,0.22,0.077,6.0,32.0,0.9988,0.56,high
<= 1.5,3.00 - 3.25,9.0 - 9.5,9.1,0.52,0.33,0.07,9.0,30.0,0.9978,0.6,low
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,12.8,0.84,0.63,0.08800000000000001,13.0,35.0,0.9997,0.6,high
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,10.5,0.24,0.47,0.066,6.0,24.0,0.9978,0.9,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,7.8,0.55,0.35,0.07400000000000001,21.0,66.0,0.9974,0.56,low
2.0 - 2.5,2.74 - 3.00,> 12.0,11.9,0.37,0.69,0.078,12.0,24.0,0.9958,0.65,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,12.3,0.39,0.63,0.091,6.0,18.0,1.0004,0.49,low
> 3.0,3.00 - 3.25,9.5 - 10.0,10.4,0.41,0.55,0.076,22.0,54.0,0.9996,0.89,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,12.3,0.39,0.63,0.091,6.0,18.0,1.0004,0.49,low
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,8.0,0.67,0.3,0.06,38.0,62.0,0.9958,0.56,high
> 3.0,3.00 - 3.25,11.0 - 11.5,11.1,0.45,0.73,0.066,6.0,22.0,0.9986,0.66,high
> 3.0,3.00 - 3.25,9.5 - 10.0,10.4,0.41,0.55,0.076,22.0,54.0,0.9996,0.89,high
<= 1.5,3.00 - 3.25,9.0 - 9.5,7.0,0.62,0.18,0.062,7.0,50.0,0.9951,0.6,low
2.0 - 2.5,2.74 - 3.00,9.5 - 10.0,12.6,0.31,0.72,0.07200000000000001,6.0,29.0,0.9987,0.82,high
2.0 - 2.5,3.00 - 3.25,11.0 - 11.5,11.9,0.4,0.65,0.068,7.0,27.0,0.9988,0.68,high
> 3.0,2.74 - 3.00,11.0 - 11.5,15.6,0.685,0.76,0.1,6.0,43.0,1.0032,0.68,high
2.5 - 3.0,3.00 - 3.25,11.5 - 12.0,10.0,0.44,0.49,0.077,11.0,19.0,0.9963,0.63,high
1.5 - 2.0,3.50 - 3.75,> 12.0,5.3,0.57,0.01,0.054000000000000006,5.0,27.0,0.9934,0.84,high
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,9.5,0.735,0.1,0.079,6.0,31.0,0.9986,0.56,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,12.5,0.38,0.6,0.081,31.0,72.0,0.9996,0.73,low
2.0 - 2.5,3.00 - 3.25,11.0 - 11.5,9.3,0.48,0.29,0.127,6.0,16.0,0.9968,0.72,low
1.5 - 2.0,3.00 - 3.25,10.0 - 10.5,8.6,0.53,0.22,0.1,7.0,27.0,0.9967,0.56,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,11.9,0.39,0.69,0.095,17.0,35.0,0.9994,0.61,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,11.9,0.39,0.69,0.095,17.0,35.0,0.9994,0.61,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.4,0.37,0.53,0.413,9.0,26.0,0.9979,1.06,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,6.8,0.56,0.03,0.084,18.0,35.0,0.9968,0.63,high
2.5 - 3.0,3.25 - 3.50,11.0 - 11.5,10.4,0.33,0.63,0.084,5.0,22.0,0.9998,0.74,high
1.5 - 2.0,3.25 - 3.50,11.0 - 11.5,7.0,0.23,0.4,0.063,21.0,67.0,0.9952,0.63,low
> 3.0,3.00 - 3.25,> 12.0,11.3,0.62,0.67,0.086,6.0,19.0,0.9988,0.69,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,8.9,0.59,0.39,0.095,5.0,22.0,0.9986,0.58,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,9.2,0.63,0.21,0.09699999999999999,29.0,65.0,0.9988,0.58,low
2.5 - 3.0,3.25 - 3.50,11.0 - 11.5,10.4,0.33,0.63,0.084,5.0,22.0,0.9998,0.74,high
2.0 - 2.5,3.00 - 3.25,<= 9.0,11.6,0.58,0.66,0.07400000000000001,10.0,47.0,1.0008,0.57,low
2.0 - 2.5,3.25 - 3.50,11.0 - 11.5,9.2,0.43,0.52,0.083,14.0,23.0,0.9976,0.61,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.3,0.615,0.22,0.087,6.0,19.0,0.9982,0.61,low
2.5 - 3.0,3.00 - 3.25,11.5 - 12.0,11.0,0.26,0.68,0.085,10.0,25.0,0.997,0.61,low
2.0 - 2.5,3.00 - 3.25,<= 9.0,8.1,0.66,0.7,0.098,25.0,129.0,0.9972,0.53,low
2.0 - 2.5,2.74 - 3.00,9.0 - 9.5,11.5,0.315,0.54,0.084,5.0,15.0,0.9987,0.7,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,10.0,0.29,0.4,0.098,10.0,26.0,1.0006,0.91,low
1.5 - 2.0,3.00 - 3.25,11.0 - 11.5,10.3,0.5,0.42,0.069,21.0,51.0,0.9982,0.72,high
2.5 - 3.0,3.25 - 3.50,> 12.0,8.8,0.46,0.45,0.065,7.0,18.0,0.9947,0.79,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,11.4,0.36,0.69,0.09,6.0,21.0,1.0,0.62,high
<= 1.5,3.00 - 3.25,9.5 - 10.0,8.7,0.82,0.02,0.07,36.0,48.0,0.9952,0.58,low
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,13.0,0.32,0.65,0.09300000000000001,15.0,47.0,0.9996,0.61,low
2.0 - 2.5,3.00 - 3.25,11.0 - 11.5,9.6,0.54,0.42,0.081,25.0,52.0,0.997,0.71,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,12.5,0.37,0.55,0.083,25.0,68.0,0.9995,0.82,high
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,9.9,0.35,0.55,0.062,5.0,14.0,0.9971,0.79,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,10.5,0.28,0.51,0.08,10.0,24.0,0.9982,0.89,high
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,9.6,0.68,0.24,0.087,5.0,28.0,0.9988,0.6,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,9.3,0.27,0.41,0.091,6.0,16.0,0.998,0.7,low
1.5 - 2.0,3.00 - 3.25,10.5 - 11.0,10.4,0.24,0.49,0.075,6.0,20.0,0.9977,1.06,high
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,9.6,0.68,0.24,0.087,5.0,28.0,0.9988,0.6,low
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,9.4,0.685,0.11,0.077,6.0,31.0,0.9984,0.7,high
> 3.0,3.00 - 3.25,9.0 - 9.5,10.6,0.28,0.39,0.069,6.0,23.0,1.0026,0.66,low
2.5 - 3.0,3.00 - 3.25,11.5 - 12.0,9.4,0.3,0.56,0.08,6.0,17.0,0.9964,0.92,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.6,0.36,0.59,0.152,6.0,18.0,0.9986,1.05,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.6,0.36,0.6,0.152,7.0,18.0,0.9986,1.06,low
> 3.0,3.00 - 3.25,> 12.0,10.6,0.44,0.68,0.114,6.0,24.0,0.997,0.66,high
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,10.2,0.67,0.39,0.054000000000000006,6.0,17.0,0.9976,0.47,low
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,10.2,0.67,0.39,0.054000000000000006,6.0,17.0,0.9976,0.47,low
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,10.2,0.645,0.36,0.053,5.0,14.0,0.9982,0.42,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,11.6,0.32,0.55,0.081,35.0,67.0,1.0002,0.92,high
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,9.3,0.39,0.4,0.073,10.0,26.0,0.9984,0.75,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,9.3,0.775,0.27,0.078,24.0,56.0,0.9984,0.67,high
2.0 - 2.5,3.25 - 3.50,> 12.0,9.2,0.41,0.5,0.055,12.0,25.0,0.9952,0.79,high
2.5 - 3.0,3.25 - 3.50,> 12.0,8.9,0.4,0.51,0.052000000000000005,13.0,27.0,0.995,0.9,high
2.5 - 3.0,3.25 - 3.50,11.5 - 12.0,8.7,0.69,0.31,0.086,23.0,81.0,1.0002,0.74,high
> 3.0,3.25 - 3.50,> 12.0,6.5,0.39,0.23,0.051,28.0,91.0,0.9952,0.55,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,10.7,0.35,0.53,0.07,5.0,16.0,0.9972,0.65,high
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.8,0.52,0.25,0.081,14.0,38.0,0.9984,0.65,high
2.0 - 2.5,3.25 - 3.50,11.0 - 11.5,7.2,0.34,0.32,0.09,43.0,113.0,0.9966,0.79,low
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,10.7,0.35,0.53,0.07,5.0,16.0,0.9972,0.65,high
2.5 - 3.0,3.25 - 3.50,11.5 - 12.0,8.7,0.69,0.31,0.086,23.0,81.0,1.0002,0.74,high
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.8,0.52,0.25,0.081,14.0,38.0,0.9984,0.65,high
> 3.0,3.00 - 3.25,11.5 - 12.0,10.4,0.44,0.73,0.07400000000000001,38.0,76.0,0.9990000000000001,0.85,high
> 3.0,3.00 - 3.25,11.5 - 12.0,10.4,0.44,0.73,0.07400000000000001,38.0,76.0,0.9990000000000001,0.85,high
1.5 - 2.0,3.00 - 3.25,10.5 - 11.0,10.5,0.26,0.47,0.078,6.0,24.0,0.9976,1.04,high
1.5 - 2.0,3.00 - 3.25,10.5 - 11.0,10.5,0.24,0.42,0.077,6.0,22.0,0.9976,1.05,high
2.5 - 3.0,3.00 - 3.25,> 12.0,10.2,0.49,0.63,0.07200000000000001,10.0,26.0,0.9968,0.78,high
1.5 - 2.0,3.00 - 3.25,10.5 - 11.0,10.4,0.24,0.46,0.075,6.0,21.0,0.9976,1.02,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,11.2,0.67,0.55,0.084,6.0,13.0,1.0,0.71,high
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,10.0,0.59,0.31,0.09,26.0,62.0,0.9994,0.63,high
2.5 - 3.0,3.00 - 3.25,11.0 - 11.5,13.3,0.29,0.75,0.084,23.0,43.0,0.9986,0.68,high
> 3.0,3.00 - 3.25,9.0 - 9.5,12.4,0.42,0.49,0.073,19.0,43.0,0.9978,0.61,low
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,10.0,0.59,0.31,0.09,26.0,62.0,0.9994,0.63,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,10.7,0.4,0.48,0.125,15.0,49.0,0.998,0.81,high
2.0 - 2.5,3.00 - 3.25,11.5 - 12.0,10.5,0.51,0.64,0.107,6.0,15.0,0.9973,0.66,high
2.0 - 2.5,3.00 - 3.25,11.5 - 12.0,10.5,0.51,0.64,0.107,6.0,15.0,0.9973,0.66,high
> 3.0,3.25 - 3.50,9.0 - 9.5,8.5,0.655,0.49,0.122,34.0,151.0,1.001,1.14,low
> 3.0,3.00 - 3.25,11.5 - 12.0,12.5,0.6,0.49,0.1,5.0,14.0,1.001,0.74,high
2.0 - 2.5,3.00 - 3.25,<= 9.0,10.4,0.61,0.49,0.2,5.0,16.0,0.9994,0.63,low
2.5 - 3.0,3.00 - 3.25,11.5 - 12.0,10.9,0.21,0.49,0.08800000000000001,11.0,32.0,0.9972,0.68,high
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,7.3,0.365,0.49,0.08800000000000001,39.0,106.0,0.9966,0.78,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,9.8,0.25,0.49,0.08800000000000001,15.0,33.0,0.9982,0.9,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.6,0.41,0.49,0.08800000000000001,16.0,43.0,0.998,0.64,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,8.2,0.39,0.49,0.099,47.0,133.0,0.9979,0.99,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.3,0.4,0.49,0.085,38.0,142.0,0.9978,0.55,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.2,0.43,0.49,0.086,23.0,116.0,0.9976,0.64,low
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,10.4,0.64,0.24,0.105,29.0,53.0,0.9998,0.67,low
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,7.3,0.365,0.49,0.08800000000000001,39.0,106.0,0.9966,0.78,low
2.0 - 2.5,3.25 - 3.50,11.0 - 11.5,7.0,0.38,0.49,0.09699999999999999,33.0,85.0,0.9962,0.77,high
2.5 - 3.0,3.25 - 3.50,<= 9.0,8.2,0.42,0.49,0.084,32.0,55.0,0.9988,0.75,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.9,0.63,0.24,0.077,6.0,33.0,0.9974,0.57,low
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,9.1,0.22,0.24,0.078,1.0,28.0,0.9990000000000001,0.87,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,11.9,0.38,0.49,0.098,12.0,42.0,1.0004,0.61,low
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,11.9,0.38,0.49,0.098,12.0,42.0,1.0004,0.61,low
2.0 - 2.5,3.00 - 3.25,> 12.0,10.3,0.27,0.24,0.07200000000000001,15.0,33.0,0.9956,0.66,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,10.0,0.48,0.24,0.102,13.0,32.0,1.0,0.56,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,9.1,0.22,0.24,0.078,1.0,28.0,0.9990000000000001,0.87,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.9,0.63,0.24,0.077,6.0,33.0,0.9974,0.57,low
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,8.1,0.825,0.24,0.084,5.0,13.0,0.9972,0.77,high
> 3.0,3.00 - 3.25,11.5 - 12.0,12.9,0.35,0.49,0.066,5.0,35.0,1.0014,0.66,high
> 3.0,3.00 - 3.25,11.0 - 11.5,11.2,0.5,0.74,0.1,5.0,17.0,0.9996,0.62,low
> 3.0,3.25 - 3.50,9.5 - 10.0,9.2,0.59,0.24,0.10099999999999999,20.0,47.0,0.9988,0.67,low
> 3.0,3.00 - 3.25,10.5 - 11.0,9.5,0.46,0.49,0.064,5.0,17.0,0.9988,0.73,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,9.3,0.715,0.24,0.07,5.0,20.0,0.9966,0.59,low
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,11.2,0.66,0.24,0.085,16.0,53.0,0.9993,0.72,high
1.5 - 2.0,2.74 - 3.00,<= 9.0,14.3,0.31,0.74,0.075,6.0,15.0,1.0008,0.79,high
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,9.1,0.47,0.49,0.094,38.0,106.0,0.9982,0.59,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.5,0.55,0.24,0.078,10.0,28.0,0.9983,0.78,high
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,10.6,0.31,0.49,0.067,6.0,21.0,0.9987,0.86,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,12.4,0.35,0.49,0.079,27.0,69.0,0.9994,0.75,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,9.0,0.53,0.49,0.171,6.0,25.0,0.9975,0.61,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,6.8,0.51,0.01,0.07400000000000001,9.0,25.0,0.9958,0.56,high
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,9.4,0.43,0.24,0.092,14.0,45.0,0.998,0.73,high
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,9.5,0.46,0.24,0.092,14.0,44.0,0.998,0.74,high
1.5 - 2.0,3.50 - 3.75,11.0 - 11.5,5.0,1.04,0.24,0.05,32.0,96.0,0.9934,0.62,low
> 3.0,2.74 - 3.00,11.0 - 11.5,15.5,0.645,0.49,0.095,10.0,23.0,1.00315,0.74,low
> 3.0,2.74 - 3.00,11.0 - 11.5,15.5,0.645,0.49,0.095,10.0,23.0,1.00315,0.74,low
> 3.0,3.00 - 3.25,11.5 - 12.0,10.9,0.53,0.49,0.11800000000000001,10.0,17.0,1.0002,0.56,high
> 3.0,2.74 - 3.00,11.0 - 11.5,15.6,0.645,0.49,0.095,10.0,23.0,1.00315,0.74,low
> 3.0,3.00 - 3.25,11.5 - 12.0,10.9,0.53,0.49,0.11800000000000001,10.0,17.0,1.0002,0.56,high
> 3.0,3.25 - 3.50,> 12.0,13.0,0.47,0.49,0.085,6.0,47.0,1.0021,0.68,high
2.5 - 3.0,3.00 - 3.25,11.0 - 11.5,12.7,0.6,0.49,0.075,5.0,19.0,0.9994,0.57,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.0,0.44,0.49,0.078,26.0,121.0,0.9978,0.58,low
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,9.0,0.54,0.49,0.094,41.0,110.0,0.9982,0.61,low
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,7.6,0.29,0.49,0.092,25.0,60.0,0.9971,0.61,high
> 3.0,3.25 - 3.50,> 12.0,13.0,0.47,0.49,0.085,6.0,47.0,1.0021,0.68,high
2.5 - 3.0,3.00 - 3.25,11.0 - 11.5,12.7,0.6,0.49,0.075,5.0,19.0,0.9994,0.57,low
2.0 - 2.5,3.25 - 3.50,<= 9.0,8.7,0.7,0.24,0.226,5.0,15.0,0.9991,0.6,high
2.0 - 2.5,3.25 - 3.50,<= 9.0,8.7,0.7,0.24,0.226,5.0,15.0,0.9991,0.6,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,9.8,0.5,0.49,0.25,5.0,20.0,0.9990000000000001,0.79,high
2.0 - 2.5,3.50 - 3.75,11.5 - 12.0,6.2,0.36,0.24,0.095,19.0,42.0,0.9946,0.57,high
> 3.0,3.25 - 3.50,10.5 - 11.0,11.5,0.35,0.49,0.07,10.0,37.0,1.0003,0.91,high
2.0 - 2.5,3.50 - 3.75,11.5 - 12.0,6.2,0.36,0.24,0.095,19.0,42.0,0.9946,0.57,high
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,10.2,0.24,0.49,0.075,10.0,28.0,0.9978,0.61,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,10.5,0.59,0.49,0.07,14.0,47.0,0.9991,0.56,low
> 3.0,3.00 - 3.25,9.5 - 10.0,10.6,0.34,0.49,0.078,20.0,78.0,0.9992,0.7,high
> 3.0,3.00 - 3.25,10.0 - 10.5,12.3,0.27,0.49,0.079,28.0,46.0,0.9993,0.8,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,9.9,0.5,0.24,0.10300000000000001,6.0,14.0,0.9978,0.52,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.8,0.44,0.49,0.083,18.0,111.0,0.9982,0.6,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,8.8,0.47,0.49,0.085,17.0,110.0,0.9982,0.6,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,10.6,0.31,0.49,0.063,18.0,40.0,0.9976,0.51,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,12.3,0.5,0.49,0.08900000000000001,5.0,14.0,1.0002,0.44,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,12.3,0.5,0.49,0.08900000000000001,5.0,14.0,1.0002,0.44,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,11.7,0.49,0.49,0.083,5.0,15.0,1.0,0.43,low
1.5 - 2.0,2.74 - 3.00,9.5 - 10.0,12.0,0.28,0.49,0.07400000000000001,10.0,21.0,0.9976,0.66,high
> 3.0,3.25 - 3.50,10.5 - 11.0,11.8,0.33,0.49,0.09300000000000001,54.0,80.0,1.0002,0.76,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.6,0.51,0.24,0.091,8.0,38.0,0.998,0.66,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,11.1,0.31,0.49,0.094,16.0,47.0,0.9986,1.02,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.3,0.73,0.24,0.10800000000000001,18.0,102.0,0.9967,0.59,low
1.5 - 2.0,3.50 - 3.75,> 12.0,5.0,0.42,0.24,0.06,19.0,50.0,0.9917,0.74,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,10.2,0.29,0.49,0.059000000000000004,5.0,13.0,0.9976,0.74,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,9.0,0.45,0.49,0.084,21.0,75.0,0.9987,0.57,low
1.5 - 2.0,3.00 - 3.25,11.0 - 11.5,6.6,0.39,0.49,0.07,23.0,149.0,0.9922,0.5,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,9.0,0.45,0.49,0.084,21.0,75.0,0.9987,0.57,low
> 3.0,3.25 - 3.50,<= 9.0,9.9,0.49,0.58,0.094,9.0,43.0,1.0004,0.58,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,7.9,0.72,0.17,0.096,20.0,38.0,0.9978,0.53,low
> 3.0,3.25 - 3.50,9.0 - 9.5,8.9,0.595,0.41,0.086,30.0,109.0,0.9998,0.57,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,12.4,0.4,0.51,0.059000000000000004,6.0,24.0,0.9994,0.6,high
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,11.9,0.58,0.58,0.071,5.0,18.0,0.998,0.63,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,8.5,0.585,0.18,0.078,5.0,30.0,0.9967,0.48,high
2.0 - 2.5,2.74 - 3.00,9.0 - 9.5,12.7,0.59,0.45,0.08199999999999999,11.0,22.0,1.0,0.7,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,8.2,0.915,0.27,0.08800000000000001,7.0,23.0,0.9962,0.47,low
2.0 - 2.5,3.00 - 3.25,<= 9.0,13.2,0.46,0.52,0.071,12.0,35.0,1.0006,0.56,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,7.7,0.835,0.0,0.081,6.0,14.0,0.9975,0.52,low
2.0 - 2.5,3.00 - 3.25,<= 9.0,13.2,0.46,0.52,0.071,12.0,35.0,1.0006,0.56,high
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,8.3,0.58,0.13,0.096,14.0,63.0,0.9984,0.62,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.3,0.6,0.13,0.085,6.0,24.0,0.9984,0.59,high
> 3.0,3.25 - 3.50,> 12.0,9.4,0.41,0.48,0.07200000000000001,10.0,20.0,0.9973,0.79,high
> 3.0,3.25 - 3.50,10.0 - 10.5,8.8,0.48,0.41,0.092,26.0,52.0,0.9982,0.53,high
> 3.0,3.25 - 3.50,10.0 - 10.5,10.1,0.65,0.37,0.11,11.0,65.0,1.0026,0.64,high
> 3.0,3.50 - 3.75,> 12.0,6.3,0.36,0.19,0.075,15.0,39.0,0.9956,0.52,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.8,0.24,0.54,0.083,25.0,57.0,0.9983,0.54,low
2.5 - 3.0,2.74 - 3.00,9.0 - 9.5,13.2,0.38,0.55,0.081,5.0,16.0,1.0006,0.54,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.5,0.64,0.0,0.077,18.0,29.0,0.9965,0.6,high
<= 1.5,3.25 - 3.50,9.5 - 10.0,8.2,0.39,0.38,0.057999999999999996,10.0,29.0,0.9962,0.74,low
2.0 - 2.5,2.74 - 3.00,10.0 - 10.5,9.2,0.755,0.18,0.14800000000000002,10.0,103.0,0.9969,1.36,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,9.6,0.6,0.5,0.079,28.0,71.0,0.9997,0.57,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,9.6,0.6,0.5,0.079,28.0,71.0,0.9997,0.57,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,11.5,0.31,0.51,0.079,14.0,28.0,0.9982,0.93,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,11.4,0.46,0.5,0.122,4.0,17.0,1.0006,0.7,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,11.3,0.37,0.41,0.08800000000000001,6.0,16.0,0.9988,0.8,low
> 3.0,3.25 - 3.50,9.0 - 9.5,8.3,0.54,0.24,0.076,16.0,112.0,0.9976,0.61,low
> 3.0,3.25 - 3.50,9.0 - 9.5,8.2,0.56,0.23,0.078,14.0,104.0,0.9976,0.62,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,10.0,0.58,0.22,0.08,9.0,32.0,0.9974,0.55,low
2.5 - 3.0,3.25 - 3.50,> 12.0,7.9,0.51,0.25,0.077,21.0,45.0,0.9974,0.96,high
> 3.0,3.25 - 3.50,10.0 - 10.5,6.8,0.69,0.0,0.124,21.0,58.0,0.9997,0.72,low
> 3.0,3.25 - 3.50,10.0 - 10.5,6.8,0.69,0.0,0.124,21.0,58.0,0.9997,0.72,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.8,0.6,0.29,0.098,5.0,15.0,0.9988,0.49,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.8,0.6,0.29,0.098,5.0,15.0,0.9988,0.49,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.7,0.54,0.26,0.09699999999999999,7.0,31.0,0.9976,0.6,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,7.6,0.685,0.23,0.111,20.0,84.0,0.9964,0.61,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.7,0.54,0.26,0.09699999999999999,7.0,31.0,0.9976,0.6,high
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,10.4,0.28,0.54,0.105,5.0,19.0,0.9988,0.63,low
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,7.6,0.41,0.14,0.087,21.0,43.0,0.9964,0.57,high
> 3.0,3.25 - 3.50,11.0 - 11.5,10.1,0.935,0.22,0.105,11.0,86.0,1.001,0.64,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.9,0.35,0.21,0.073,46.0,102.0,0.9964,0.58,low
<= 1.5,3.25 - 3.50,9.5 - 10.0,8.7,0.84,0.0,0.065,24.0,33.0,0.9954,0.55,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.6,0.88,0.28,0.086,30.0,147.0,0.9979,0.53,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.5,0.885,0.27,0.084,31.0,145.0,0.9978,0.53,low
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,7.7,0.915,0.12,0.14300000000000002,7.0,23.0,0.9964,0.65,high
1.5 - 2.0,3.00 - 3.25,10.0 - 10.5,8.9,0.29,0.35,0.067,25.0,57.0,0.997,1.36,high
